Full Name,Team,Position,Overall Avg FPT,Home Avg FPT,Away Avg FPT,FPT Std Dev,Floor Rate % (FPT<8),Ceiling Rate % (FPT>=20),Total Minutes,FPT per Minute,Games Played
Terry Tarpey,AS Monaco,G,3.48,4.31,2.75,3.84,83.33,0,276.8,0.453,36
Kostas Papanikolaou,Olympiacos Piraeus,F,2.52,2.62,2.41,3.87,91.67,0,515.2,0.176,36
Mantas Rubstavicius,Zalgiris Kaunas,G,1.05,1.22,0.81,3.99,94.12,0,73.5,0.244,17
Francesco Ferrari,Virtus Bologna,F,3.8,5,2.8,4.03,90.91,0,113.3,0.369,11
Sergio Llull,Real Madrid,G,2.12,3.07,1.18,4.03,92.5,0,426.2,0.199,40
Aleksa Radanov,Partizan Mozzart Bet Belgrade,G,0.32,-0.57,2.4,4.1,90,0,68.3,0.047,10
Myles Cale,FC Barcelona,F,3.42,5.59,1.25,4.17,82.35,0,515.9,0.225,34
Gur Lavi,Maccabi Rapyd Tel Aviv,F,3.43,3.45,3.41,4.18,86.67,0,168.8,0.305,15
Daulton Hommes,Paris Basketball,F,4.5,4.37,4.69,4.25,76.19,0,285.3,0.332,21
Onuralp Bitim,Fenerbahce Beko Istanbul,F,2.59,1.81,3.32,4.25,82.76,0,307.6,0.244,29
Leopold Cavaliere,Paris Basketball,F,4.8,5.19,4.35,4.43,72.22,0,504.6,0.342,36
Joel Ayayi,Paris Basketball,G,2.86,3.03,2.67,4.55,76.92,0,136.9,0.272,13
Niels Giffey,FC Bayern Munich,F,3.85,4.19,3.51,4.63,84.38,0,423,0.291,32
Alberto Abalde,Real Madrid,F,4.06,5.81,2.61,4.64,85.71,0,654,0.261,42
Vanja Marinkovic,Partizan Mozzart Bet Belgrade,F,4.28,3.87,4.73,4.69,84.21,0,389.3,0.209,19
Georgios Papagiannis,Anadolu Efes Istanbul,C,5.58,5.3,6,4.75,60,0,73.9,0.378,5
Tyson Ward,Olympiacos Piraeus,F,8.32,8.13,8.58,4.77,51.43,0,668.1,0.436,35
William Rayman,Maccabi Rapyd Tel Aviv,F,2.91,3.41,2.42,4.77,81.58,0,455,0.243,38
Giampaolo Ricci,EA7 Emporio Armani Milan,F,4.64,4.57,4.72,4.83,76.32,0,622.8,0.283,38
Yakuba Ouattara,Paris Basketball,G,4.43,3.22,5.51,4.85,73.53,0,573.5,0.263,34
Bryant Dunston,EA7 Emporio Armani Milan,C,4.92,6.69,3.36,4.95,70.59,0,186.1,0.45,17
Alexandros Samodurov,Panathinaikos AKTOR Athens,F,3.05,4.1,2.16,5.01,84.62,0,80.3,0.494,13
Bodian Massa,LDLC ASVEL Villeurbanne,C,4.54,3.98,5.17,5.03,73.53,0,539,0.286,34
David Lighty,LDLC ASVEL Villeurbanne,F,4.07,4.87,3.11,5.06,87.88,0,612.8,0.219,33
Daniel Hackett,Virtus Bologna,G,4.73,5.51,3.99,5.1,69.7,0,484,0.322,33
Khalifa Diop,Baskonia Vitoria-Gasteiz,C,6.4,7.26,5.65,5.11,64.29,0,468.5,0.382,28
Clement Frisch,Baskonia Vitoria-Gasteiz,F,5.04,6.68,3.48,5.12,75.68,0,449.5,0.415,37
Chris Silva,Fenerbahce Beko Istanbul,C,4.53,5.96,3.41,5.13,75,0,139.2,0.52,16
Niccolo Mannion,EA7 Emporio Armani Milan,G,3.48,4.32,2.77,5.16,81.82,0,254,0.301,22
David Kramer,Real Madrid,G,1.11,3.65,-0.79,5.17,92.86,0,158.7,0.098,14
Awudu Abass,Dubai Basketball,F,2.55,3.59,1.58,5.19,90.32,3.23,507.7,0.156,31
Zachary Hankins,Maccabi Rapyd Tel Aviv,C,4.82,4.64,5,5.2,70,0,103,0.468,10
Joel Bolomboy,Crvena Zvezda Meridianbet Belgrade,C,8.04,9.09,6.84,5.21,46.67,0,216.8,0.556,15
Justus Hollatz,FC Bayern Munich,G,4.93,4.97,4.9,5.22,61.54,0,433.4,0.296,26
Kosta Kondic,Dubai Basketball,G,3.84,3.79,3.9,5.22,75,0,188,0.327,16
Josep Puerto,Valencia Basket,G,5.6,4.8,6.59,5.23,60.53,0,598.4,0.356,38
Shaquielle Mckissic,Olympiacos Piraeus,G,5.44,5.45,5.43,5.24,70.37,0,311.7,0.471,27
Mouhamed Faye,Paris Basketball,C,7.33,7.69,6.98,5.3,50,0,652.6,0.427,38
Juhann Begarin,AS Monaco,G,4.02,5.12,3.02,5.31,82.61,0,309.9,0.298,23
Shake Milton,Partizan Mozzart Bet Belgrade,G,6.21,6.72,5.65,5.34,65.22,0,427.4,0.334,23
John Dibartolomeo,Maccabi Rapyd Tel Aviv,G,4.64,4.37,4.93,5.39,74.07,0,386.9,0.324,27
Miles Norris,FC Barcelona,F,4.94,6.59,3.45,5.43,69.44,2.78,445.8,0.399,36
Marcio Santos,Maccabi Rapyd Tel Aviv,C,6.26,6.07,6.44,5.45,72.97,0,520.4,0.445,37
Ignas Brazdeikis,Zalgiris Kaunas,F,3.44,4.56,2.43,5.55,81.58,0,561.7,0.233,38
Metecan Birsen,Fenerbahce Beko Istanbul,F,2.88,2.76,3.05,5.58,83.33,0,269.8,0.256,24
Gytis Radzevicius,Baskonia Vitoria-Gasteiz,G,5.36,9.11,1.91,5.62,76,0,443,0.303,25
Edwin Jackson,LDLC ASVEL Villeurbanne,F,4.35,2.77,6.47,5.64,76.19,0,330.2,0.277,21
Edgaras Ulanovas,Zalgiris Kaunas,F,7.03,7.18,6.89,5.65,61.9,2.38,779.2,0.379,42
Frank Ntilikina,Olympiacos Piraeus,G,2.98,2.89,3.11,5.69,87.5,0,393.8,0.182,24
Kobi Simmons,Baskonia Vitoria-Gasteiz,G,11.26,12.12,10.46,5.72,19.35,9.68,687.5,0.508,31
Arturs Zagars,Fenerbahce Beko Istanbul,G,4.46,5.77,2.5,5.72,80,0,56.4,0.396,5
Tyson Carter,Crvena Zvezda Meridianbet Belgrade,G,2.22,0.88,2.99,5.75,81.82,0,161.6,0.151,11
Nicola Akele,Virtus Bologna,F,3.42,1.96,5.13,5.77,84.62,3.85,259.2,0.343,26
Brice Dessert,Anadolu Efes Istanbul,C,5.68,5.6,5.76,5.77,52.94,0,219.7,0.44,17
Aleksej Pokusevski,Partizan Mozzart Bet Belgrade,F,3.12,2.43,4.14,5.81,85.19,3.7,325.9,0.259,27
Nick Calathes,Partizan Mozzart Bet Belgrade,G,6.29,5.43,7.2,5.82,58.06,0,596.2,0.327,31
Ish Wainright,Hapoel IBI Tel Aviv,F,4.5,5.76,3.25,5.91,69.05,0,966.9,0.196,42
Tai Odiase,Hapoel IBI Tel Aviv,C,4.28,5.02,3.48,5.92,79.31,3.45,345.8,0.359,29
Jaime Pradilla,Valencia Basket,C,9.93,10.27,9.57,5.93,36.36,4.55,858.4,0.509,44
Semi Ojeleye,Crvena Zvezda Meridianbet Belgrade,F,8.36,7.36,9.32,5.93,43.59,0,894.2,0.365,39
Nemanja Nedovic,AS Monaco,G,5.28,4.61,5.78,5.95,71.43,2.86,470.4,0.393,35
Yam Madar,Hapoel IBI Tel Aviv,G,3.29,2.81,3.67,5.98,81.25,0,155.3,0.339,16
Laurynas Birutis,Zalgiris Kaunas,C,5.58,4.3,6.92,5.99,73.17,4.88,409.7,0.558,41
Melvin Ajinca,LDLC ASVEL Villeurbanne,F,3.6,4.93,2.09,6,80,0,529.8,0.204,30
Jeremy Morgan,Paris Basketball,F,6.08,4.93,7.11,6.03,56.25,0,566.8,0.343,32
Donatas Motiejunas,Crvena Zvezda Meridianbet Belgrade,C,7.8,7.05,8.6,6.06,55.56,7.41,338.9,0.621,27
Timothe Luwawu-cabarrot,Baskonia Vitoria-Gasteiz,F,17.02,18.96,14.85,6.08,5.56,33.33,914.8,0.67,36
Stefan Jovic,FC Bayern Munich,G,7.95,8.26,7.43,6.08,52.63,0,351.1,0.43,19
Rodrigue Beaubois,Anadolu Efes Istanbul,G,4.83,4.12,5.47,6.1,76.19,4.76,260.5,0.389,21
Nikola Kalinic,Crvena Zvezda Meridianbet Belgrade,F,6.67,8.55,4.88,6.16,66.67,5.13,903.3,0.288,39
Arijan Lakic,Partizan Mozzart Bet Belgrade,G,2.94,4.1,1.69,6.18,84,4,328.5,0.224,25
Deividas Sirvydis,Zalgiris Kaunas,G,3.82,3.85,3.78,6.18,70.37,0,331.3,0.311,27
Jasiel Rivero,Crvena Zvezda Meridianbet Belgrade,C,4.37,4.7,4.2,6.2,66.67,0,88.4,0.444,9
Chuma Okeke,Real Madrid,F,8.46,9.53,7.53,6.3,53.49,4.65,770,0.473,43
Amath M'baye,Paris Basketball,F,6.52,9.16,3.55,6.31,73.53,5.88,588.3,0.377,34
Matthew Costello,Valencia Basket,F,7.92,8.26,7.51,6.34,50,5,662.5,0.478,40
Klemen Prepelic,Dubai Basketball,G,3.63,4.12,3.25,6.34,81.48,3.7,363.1,0.27,27
Alessandro Pajola,Virtus Bologna,G,7.28,7.64,6.91,6.35,50,4.17,458,0.381,24
Justin Anderson,Dubai Basketball,F,6.68,7.67,5.74,6.37,63.64,6.06,774.9,0.284,33
Braxton Key,Valencia Basket,F,7.09,6.41,7.85,6.37,61.76,2.94,578.8,0.416,34
Sergio De Larrea,Valencia Basket,G,4.93,6.19,4.02,6.41,70.97,6.45,345.7,0.442,31
Shane Larkin,Anadolu Efes Istanbul,G,15.56,13.39,18.6,6.45,8.33,16.67,364.3,0.513,12
Tadas Sedekerskis,Baskonia Vitoria-Gasteiz,F,10.37,11.97,8.5,6.45,53.85,7.69,310.4,0.434,13
Allan Dokossi,Paris Basketball,F,8.95,9.03,8.85,6.45,50,5.88,549.9,0.553,34
Rolands Smits,Anadolu Efes Istanbul,F,6.25,8.45,4.18,6.46,68.57,2.86,664.3,0.329,35
Nicolo Melli,Fenerbahce Beko Istanbul,C,10.97,11.95,10.05,6.48,28.57,2.86,831.1,0.462,35
Sebastian Herrera,Paris Basketball,G,5.29,5.64,4.95,6.49,63.89,0,591.2,0.322,36
