Full Name,Team,Position,Overall Avg FPT,Home Avg FPT,Away Avg FPT,FPT Std Dev,Floor Rate % (FPT<8),Ceiling Rate % (FPT>=20),Total Minutes,FPT per Minute,Games Played
Tj Leaf,Maccabi Rapyd Tel Aviv,F,13.2,14.65,11.76,7.36,33.33,16.67,436.9,0.725,24
Bruno Fernando,Partizan Mozzart Bet Belgrade,C,10.15,10.66,9.62,7.44,43.24,13.51,640.7,0.586,37
Jerian Grant,Panathinaikos AKTOR Athens,G,8.83,8.97,8.69,7.44,52.38,9.52,993.3,0.373,42
Davis Bertans,Dubai Basketball,F,5.81,6.78,4.91,7.47,68.97,3.45,540.6,0.312,29
Chris Jones,Hapoel IBI Tel Aviv,G,12.45,12.4,12.5,7.48,28.57,14.29,858,0.609,42
Antonio Blakeney,Hapoel IBI Tel Aviv,G,11.13,13.04,9.31,7.52,34.15,9.76,928.4,0.491,41
Wenyen Gabriel,FC Bayern Munich,C,6.07,6.42,5.72,7.55,69.44,2.78,610,0.358,36
Vassilis Toliopoulos,Panathinaikos AKTOR Athens,G,3.73,7.48,1.23,7.57,90,10,95.6,0.39,10
Brancou Badio,Valencia Basket,G,10.28,11.53,8.75,7.61,40,12.5,819.8,0.501,40
Collin Malcolm,Hapoel IBI Tel Aviv,F,9.04,10.67,7.56,7.67,45,10,994.6,0.364,40
Arnas Butkevicius,Zalgiris Kaunas,F,8.06,8.88,7.23,7.68,55.26,10.53,685.2,0.447,38
Cole Swider,Anadolu Efes Istanbul,F,4.17,3.22,5.13,7.7,80,6.67,270.4,0.463,30
Bastien Vautier,LDLC ASVEL Villeurbanne,C,5.22,6.21,4.18,7.73,70.27,2.7,467.9,0.413,37
Kessler Edwards,Hapoel IBI Tel Aviv,F,5.96,6.18,5.77,7.76,61.54,0,170.6,0.454,13
Eugene Omoruyi,Baskonia Vitoria-Gasteiz,C,11.43,8.96,13.68,7.8,30.43,17.39,465.2,0.565,23
Omari Moore,Valencia Basket,G,8.35,8.15,8.58,7.8,55.81,6.98,741.8,0.484,43
Devin Booker,EA7 Emporio Armani Milan,C,9.98,11.09,8.87,7.83,44.44,11.11,719.3,0.5,36
Matteo Spagnolo,Baskonia Vitoria-Gasteiz,G,6.57,8.36,4.88,7.84,70.27,5.41,572.5,0.425,37
Oscar Da Silva,FC Bayern Munich,F,8.14,11.48,4.59,7.85,54.29,8.57,557,0.511,35
Matthew Morgan,Virtus Bologna,G,12.66,14.75,10.56,7.87,26.47,14.71,677.8,0.635,34
Zach Leday,EA7 Emporio Armani Milan,F,15.91,16.31,15.51,7.88,10,26.67,738.7,0.646,30
Vladimir Lucic,FC Bayern Munich,F,11.19,10.02,12.29,7.9,42.42,15.15,764.6,0.483,33
Derek Willis,Paris Basketball,F,8.41,10.34,6.48,7.92,53.57,14.29,455.2,0.517,28
Nicolas Laprovittola,FC Barcelona,G,7.74,5.37,9.68,7.93,50,10,336.7,0.46,20
Luca Vildoza,Virtus Bologna,G,10.22,11.96,8.47,7.94,46.67,13.33,632.5,0.485,30
Azuolas Tubelis,Zalgiris Kaunas,F,13.49,13.76,13.23,7.96,26.19,21.43,953.1,0.595,42
Kameron Taylor,Valencia Basket,F,14.47,15.37,13.37,7.96,20,17.5,962.1,0.601,40
Dario Brizuela,FC Barcelona,G,6.26,5.31,7.11,8,63.16,5.26,590.6,0.403,38
Jared Rhoden,Paris Basketball,G,8.35,6.95,9.56,8.02,46.15,7.69,554.6,0.392,26
Alec Peters,Olympiacos Piraeus,F,9.12,8.14,10.24,8.04,55.81,11.63,652.9,0.601,43
Maodo Lo,Zalgiris Kaunas,G,7.58,7.99,7.18,8.07,53.66,7.32,738.9,0.42,41
Jeffrey Dowtin Jr,Maccabi Rapyd Tel Aviv,G,7.13,7.53,6.76,8.07,57.89,5.26,324.8,0.417,19
Mbaye Ndiaye,LDLC ASVEL Villeurbanne,C,10.18,11.51,8.57,8.08,38.71,12.9,731.1,0.432,31
Tonye Jekiri,Partizan Mozzart Bet Belgrade,C,10.57,9.87,11.18,8.1,40,13.33,289.1,0.548,15
Johannes Voigtmann,FC Bayern Munich,C,6.53,5.71,7.16,8.1,69.57,4.35,299.1,0.502,23
Youssoupha Fall,FC Barcelona,C,4.97,5.68,4.27,8.12,77.78,5.56,134.8,0.664,18
Nikola Mirotic,AS Monaco,F,13.46,17.32,10.28,8.14,22.58,19.35,590.5,0.706,31
Juancho Hernangomez,Panathinaikos AKTOR Athens,F,12.97,13.4,12.53,8.16,27.27,18.18,1076.4,0.53,44
Derrick Alston Jr.,Virtus Bologna,F,9.22,9.74,8.76,8.17,47.22,11.11,798.6,0.416,36
Johnathan Motley,Hapoel IBI Tel Aviv,C,8.62,8.83,8.4,8.18,40,5.71,512.4,0.589,35
Shaquille Harrison,LDLC ASVEL Villeurbanne,F,9.3,9.19,9.45,8.21,46.43,7.14,534.8,0.487,28
Jaron Blossomgame,AS Monaco,F,11.19,13.61,8.88,8.27,34.88,13.95,1019.8,0.472,43
Walter Tavares,Real Madrid,C,16.49,18.99,13.85,8.28,17.95,33.33,887.6,0.724,39
Vincent Poirier,Anadolu Efes Istanbul,C,11.44,9.19,13.69,8.29,35.71,14.29,259.1,0.618,14
